STNAME,CTYNAME,Majority_White,Percent_White
Delaware,Sussex County,True,0.8243227297310586
District of Columbia,District of Columbia,False,0.4290892471094678
Florida,Alachua County,True,0.7126248423933147
Florida,Baker County,True,0.8410987225873144
Florida,Bay County,True,0.828961681878734
Florida,Bradford County,True,0.7807312654811638
Florida,Brevard County,True,0.8424942491142996
Florida,Broward County,True,0.6608437820395926
Florida,Calhoun County,True,0.8221829790124295
Florida,Charlotte County,True,0.9079341824203289
Florida,Citrus County,True,0.9360361653272101
Florida,Clay County,True,0.8317116468136562
Florida,Collier County,True,0.8996922632638144
Florida,Columbia County,True,0.7805814672041903
Florida,DeSoto County,True,0.8342359990781286
Florida,Dixie County,True,0.8891851668113605
Florida,Duval County,True,0.6253453266363651
Florida,Escambia County,True,0.7011974959945824
Florida,Flagler County,True,0.8394656310047885
Florida,Franklin County,True,0.8308232072565463
Florida,Gadsden County,False,0.4247120013755158
Florida,Gilchrist County,True,0.9194171870353851
Florida,Glades County,True,0.7995727473868925
Florida,Gulf County,True,0.7818424735971498
Florida,Hamilton County,True,0.6239461517541474
Florida,Hardee County,True,0.8865304935669114
Florida,Hendry County,True,0.8196651267124202
Florida,Hernando County,True,0.9102766661669223
Florida,Highlands County,True,0.8604068155878036
Florida,Hillsborough County,True,0.7581702466687432
Florida,Holmes County,True,0.9002726721874369
Florida,Indian River County,True,0.8758812523565275
Florida,Jackson County,True,0.6979251756248979
Florida,Jefferson County,True,0.6165123456790124
Florida,Lafayette County,True,0.8240572467060427
Florida,Lake County,True,0.8496896294683791
Florida,Lee County,True,0.8733288599132487
Florida,Leon County,True,0.633110029636782
Florida,Levy County,True,0.8726545908806995
Florida,Liberty County,True,0.7771870468825519
Florida,Madison County,True,0.5849685301740096
Florida,Manatee County,True,0.866278321029066
Florida,Marion County,True,0.8324267064528161
Florida,Martin County,True,0.9058642493801111
Florida,Miami-Dade County,True,0.7758999781940421
Florida,Monroe County,True,0.9018567284684997
Florida,Nassau County,True,0.9040721435366948
Florida,Okaloosa County,True,0.8231141133083969
Florida,Okeechobee County,True,0.8720449996199356
Florida,Orange County,True,0.6976936270310106
Florida,Osceola County,True,0.8046942411000083
Florida,Palm Beach County,True,0.768782458377717
Florida,Pasco County,True,0.9012991319986989
Florida,Pinellas County,True,0.8362640952807876
Florida,Polk County,True,0.8002216963830706
Florida,Putnam County,True,0.8035570478959365
Florida,St. Johns County,True,0.8988466179990899
Florida,St. Lucie County,True,0.7576497361431098
Florida,Santa Rosa County,True,0.8751072474008277
Florida,Sarasota County,True,0.9184300279427264
Florida,Seminole County,True,0.814401236659719
Florida,Sumter County,True,0.8893623302499508
Florida,Suwannee County,True,0.8383727322704783
Florida,Taylor County,True,0.7581779810059796
Florida,Union County,True,0.7528267157507231
Florida,Volusia County,True,0.8497756313512426
Florida,Wakulla County,True,0.8222142903497955
Florida,Walton County,True,0.8956965718453683
Florida,Washington County,True,0.8034308211473565
Georgia,Appling County,True,0.7804878048780488
Georgia,Atkinson County,True,0.7766779333655239
Georgia,Bacon County,True,0.8171101982496874
Georgia,Baker County,True,0.5151515151515151
Georgia,Baldwin County,True,0.5555891043198826
Georgia,Banks County,True,0.9436012229744486
Georgia,Barrow County,True,0.8241673673559549
Georgia,Bartow County,True,0.861565054986539
Georgia,Ben Hill County,True,0.6213935454441784
Georgia,Berrien County,True,0.8661834987658211
Georgia,Bibb County,False,0.4351344096330099
Georgia,Bleckley County,True,0.7150158754743282
Georgia,Brantley County,True,0.9465217625221929
Georgia,Brooks County,True,0.6330584950983574
